acres,parcel_count,min_dist_mi,owner,owner_type,zoning,zoning_threat_baseline,compactness,location,lat,lon,parcels
15.28,1,0.39,BACH INVESTMENTS LLC,company/investor,American Fork:TOD,High,0.67,,40.371842,-111.83212,130380068
1.06,1,0.65,RH JOHNSON CONSTRUCTION INC,company/investor,American Fork:TOD,High,0.405,518 W 200 S,40.373125,-111.812926,130420028
19.34,2,0.93,,individual,Lehi:PC,Unknown,0.722,,40.360777,-111.836651,"130720029,130720031"
98.25,9,0.23,,individual,"American Fork:RA-1, American Fork:RA-5, Lehi:A-5",Low,0.308,,40.371909,-111.839083,"130380049,130380069,130380005,130380006,130380030,130380047,130410044,130410056,130410080"
66.16,1,1.08,,individual,American Fork:SP,Low,0.399,1099 W LAKE SHORE DR,40.355187,-111.826954,130680034
51.44,2,1.0,WINDY CITY DEVELOPMENT LLC (ET AL),company/investor,Lehi:A-5,Low,0.401,,40.363543,-111.841559,"130360017,130720021"
37.21,2,0.63,,individual,"Lehi:A-5, Lehi:C",Low,0.528,,40.379206,-111.829509,"130160136,130160137"
23.44,2,1.03,,individual,Lehi:A-5,Low,0.352,,40.365445,-111.843246,"130360004,130360014"
23.16,2,0.45,BLUE SPRING PROPERTIES LLC,company/investor,American Fork:RA-5,Low,0.784,,40.366151,-111.832604,"130390026,130390027"
19.05,3,1.79,HARBOR VIEW DEVELOPMENT LLC (ET AL),company/investor,"American Fork:PR-2.0, American Fork:SP",Low,0.193,,40.347391,-111.807807,"130750025,130750028,130640059"
17.86,2,0.81,,individual,Lehi:A-5,Low,0.722,,40.376339,-111.838415,"130380048,130160015"
17.17,1,0.84,WALKING THE WIRE LLC,company/investor,American Fork:R1-12000,Low,0.68,,40.361079,-111.815155,130700025
14.14,1,1.98,,individual,American Fork:PI-1,Low,0.496,,40.351039,-111.797582,130670097
9.34,2,1.49,NBFF PROPERTY LLC,company/investor,American Fork:R1-12000,Low,0.57,,40.356683,-111.803359,"130650045,130650057"
9.32,1,1.58,JANFRAN LLC,company/investor,American Fork:R1-12000,Low,0.713,,40.354941,-111.803094,130640060
8.59,1,0.56,HARBOR ENTERPRISES LLC,company/investor,American Fork:RA-5,Low,0.472,,40.365264,-111.817179,130430103
6.69,1,0.73,R & J WARNER HOLDINGS LLC,company/investor,Lehi:LI,Low,0.584,,40.376869,-111.83627,130380062
6.42,1,1.99,THANKSGIVING BUSINESS PARK LLC,company/investor,American Fork:PI-1,Low,0.649,,40.354546,-111.793639,130670105
6.19,1,0.67,UTAH DEPARTMENT OF TRANSPORTATION,individual,Lehi:A-5,Low,0.584,,40.376564,-111.835041,130380060
6.05,2,1.93,WHITE EAGLE FARMS LLC (ET AL),company/investor,American Fork:M-1,Low,0.534,,40.345918,-111.807422,"130750023,130750029"
5.06,1,1.03,SALT CREEK HOLDINGS LLC,company/investor,Lehi:C-H,Low,0.68,430 S 850 E,40.383158,-111.835929,665320003
4.19,1,1.44,IHC HEALTH SERVICES INC,company/investor,Lehi:C,Low,0.737,1080 E STATE ST,40.390747,-111.832585,420850001
4.04,1,0.9,VINEYARD FLAGSHIP 87 LLC,company/investor,Lehi:C,Low,0.631,349 S 1350 E,40.383477,-111.828305,456780003
4.03,1,1.73,DEER PARK LLC,company/investor,American Fork:PI-1,Low,0.64,51 W 1100 S,40.354344,-111.800026,373800001
3.89,1,1.95,UTAH LAKE DEVELOPMENT PROPERTIES LLC,company/investor,American Fork:M-1,Low,0.21,,40.347436,-111.804177,130750035
3.33,3,1.6,,individual,Lehi:A-1,Low,0.783,,40.381155,-111.854199,"130230125,130230127,373360002"
2.99,1,1.55,,individual,Lehi:TH-5,Low,0.744,,40.392715,-111.830781,120520105
2.84,1,0.57,MADHAV LLC,company/investor,American Fork:GC-2,Low,0.488,,40.379089,-111.824074,130010126
2.78,2,1.51,,individual,American Fork:R1-9000,Low,0.507,,40.391368,-111.813363,"130030104,130030121"
2.76,1,1.36,,individual,Lehi:C,Low,0.371,1115 E MAIN ST,40.389626,-111.832159,457650003
1.86,1,1.12,AUTUMN CREEK PROPERTIES LLC,company/investor,Lehi:C-H,Low,0.733,,40.385336,-111.834304,130150027
1.7,1,1.89,,individual,American Fork:RA-1,Low,0.801,769 W 1000 NORTH CIR,40.397603,-111.817969,469580105
1.43,1,1.08,ROCKPORT LLC,company/investor,American Fork:PI-1,Low,0.296,205 W FRONTAGE RD,40.371396,-111.804285,130470027
1.29,1,1.5,COANNY LLC,company/investor,Lehi:R-1-Flex,Low,0.663,,40.381611,-111.849534,130230119
1.18,1,0.77,AF I-15 LLC,company/investor,American Fork:PI-1,Low,0.54,,40.373331,-111.810701,130450021
1.16,1,0.59,A TO Z CAPITAL LP,company/investor,American Fork:SC-1,Low,0.447,,40.377758,-111.818503,343490023
1.13,1,1.73,,individual,Lehi:RA-1,Low,0.72,,40.395802,-111.827624,120530198
1.08,1,1.85,,individual,American Fork:GC-2,Low,0.78,614 S 330 E,40.364623,-111.790753,130520083
1.07,1,0.48,LIAHONA MILLPOND LLC,company/investor,American Fork:GC-2,Low,0.718,1035 W HARTS DR,40.377649,-111.826149,418300002
