serial,property_address,acreage_ac,taxing_lot,tax_2025_net_paid,mkt_val_2022,mkt_val_2023,mkt_val_2024,mkt_val_2025,mkt_val_2026,land_val_2026,improvement_val_2026,assessment_class,eff_rate_on_2025_mkt
44:238:0001,"257 S 1100 West, American Fork",0.32471,Lot 1,8666.99,1343900,636100,753600,992100,1026400,241100,785300,Commercial (no res. exemption),0.008736
44:238:0002,"1027 W 250 South Unit A, American Fork",0.762537,Lot 2,27792.4,627100,1686300,3182300,5784300,5810800,1125600,4685200,Residential (55% taxable),0.004805
44:238:0003,"1027 W 250 South Unit B, American Fork",1.03379,Lot 3,14674.34,120000,1076400,2317800,3054100,3084200,967500,2116700,Residential (55% taxable),0.004805
44:238:0004,"1027 W 250 South Unit D, American Fork",0.620198,Lot 4,15285.51,120000,1709500,2104400,3181300,3199100,903600,2295500,Residential (55% taxable),0.004805
44:238:0005,"1027 W 250 South Unit C, American Fork",0.578232,Lot 5,27792.4,240000,2306300,3088600,5784300,5810700,1085200,4725500,Residential (55% taxable),0.004805
44:238:0006,"301 S 1100 West Unit M, American Fork",0.700167,Lot 6,27792.4,341400,2926300,3151000,5784300,5810800,1112000,4698800,Residential (55% taxable),0.004805
44:238:0007,"301 S 1100 West Unit N, American Fork",0.687886,Lot 7,9231.94,120000,1606700,1884100,1921400,2062200,570500,1491700,Residential (55% taxable),0.004805
44:238:0008,"301 S 1100 West Unit L, American Fork",1.383588,Lot 8,27792.4,240000,3420600,3655900,5784300,5810800,1261600,4549200,Residential (55% taxable),0.004805
44:238:0009,"301 S 1100 West Unit K, American Fork",0.764714,Lot 9,14815.6,120000,2081100,2243300,3083500,3077400,904800,2172600,Residential (55% taxable),0.004805
44:238:0010,"301 S 1100 West Unit J, American Fork",0.437371,Lot 10,27792.4,240000,2926300,3015700,5784300,5810800,1054500,4756300,Residential (55% taxable),0.004805
44:238:0011,"301 S 1100 West Unit I, American Fork",0.884327,Lot 11,27792.4,240000,3207500,3329700,5784300,5810800,1152300,4658500,Residential (55% taxable),0.004805
44:238:0012,"301 S 1100 West Unit H, American Fork",0.482621,Lot 12,15285.51,120000,1867800,2031500,3181300,3199200,873500,2325700,Residential (55% taxable),0.004805
44:238:0013,"301 S 1100 West Unit G, American Fork",0.584511,Lot 13,15285.51,120000,1867800,2083600,3181300,3199200,895800,2303400,Residential (55% taxable),0.004805
44:238:0014,"301 S 1100 West Unit F, American Fork",0.397545,Lot 14,14674.34,120000,1867800,1989900,3054100,3084200,827700,2256500,Residential (55% taxable),0.004805
44:238:0015,"301 S 1100 West Unit E, American Fork",0.648914,Lot 15,27792.4,240000,2926300,3125000,5784300,5810800,1100700,4710100,Residential (55% taxable),0.004805
TOTAL (15 parcels),,10.29111,,302466.54,4352400,32112800,37956400,62139200,62607400,,,,0.004868
